Seq	nItem	prod.indTot	prod.qCom	prod.uCom	prod.vProd	prod.vUnCom	prod.xProd
1	1	1	1	UN	3.5	3.5	AGUA
1	2	1	0.312	KG	21.4	68.6	BUFFET
2	1	1	1.218	KG	83.55	68.6	BUFFET
2	2	1	2	UN	9	4.5	REFRIGERANTE
3	1	1	1	UN	4.5	4.5	SUCO
3	2	1	0.778	KG	53.37	68.6	BUFFET
4	1	1	0.51	KG	34.98	68.6	BUFFET
5	1	1	0.674	KG	46.23	68.6	BUFFET
6	1	1	0.412	KG	28.26	68.6	BUFFET
6	2	1	1	UN	4.5	4.5	REFRIGERANTE
7	1	1	1	UN	3.5	3.5	AGUA
7	2	1	0.716	KG	49.11	68.6	BUFFET
7	3	1	1	UN	4.5	4.5	CERVEJA
8	1	1	0.462	KG	31.69	68.6	BUFFET
8	2	1	1	UN	4.5	4.5	CERVEJA
9	1	1	0.472	KG	32.37	68.6	BUFFET
10	1	1	3	UN	3	1	CHA
10	2	1	1.7	KG	116.48	68.6	BUFFET
11	1	1	0.54	KG	37.04	68.6	BUFFET
12	1	1	1	UN	1	1	CHA
12	2	1	0.458	KG	31.41	68.6	BUFFET
13	1	1	1	UN	4.5	4.5	SUCO
13	2	1	0.386	KG	26.47	68.6	BUFFET
13	3	1	1	UN	3.2	3.2	DOCINHOS
14	1	1	1	UN	4.5	4.5	SUCO
14	2	1	0.466	KG	31.96	68.6	BUFFET
15	1	1	0.33	KG	22.63	68.6	BUFFET
15	2	1	1	UN	4.5	4.5	REFRIGERANTE
16	1	1	1	UN	1	1	CHA
16	2	1	0.374	KG	25.65	68.6	BUFFET
17	1	1	0.446	KG	30.59	68.6	BUFFET
18	1	1	0.43	KG	29.49	68.6	BUFFET
18	2	1	1	UN	4.5	4.5	CERVEJA
19	1	1	1	UN	1	1	CHA
19	2	1	0.302	KG	20.71	68.6	BUFFET
20	1	1	1	UN	3.5	3.5	AGUA
20	2	1	1	UN	1	1	CHA
20	3	1	0.406	KG	27.85	68.6	BUFFET
21	1	1	1	UN	1	1	CHA
21	2	1	0.332	KG	22.77	68.6	BUFFET
22	1	1	0.342	KG	23.46	68.6	BUFFET
23	1	1	1	UN	4.5	4.5	LIMONADA
23	2	1	0.778	KG	53.37	68.6	BUFFET
23	3	1	1	UN	4.5	4.5	REFRIGERANTE
24	1	1	1	UN	3.5	3.5	AGUA
24	2	1	0.386	KG	26.47	68.6	BUFFET
25	1	1	0.624	KG	42.8	68.6	BUFFET
25	2	1	1	UN	4.5	4.5	REFRIGERANTE
26	1	1	1	UN	1	1	CHA
26	2	1	0.556	KG	38.14	68.6	BUFFET
27	1	1	0.434	KG	29.77	68.6	BUFFET
27	2	1	1	UN	4.5	4.5	REFRIGERANTE
28	1	1	0.324	KG	22.22	68.6	BUFFET
29	1	1	1	UN	3.5	3.5	AGUA
29	2	1	0.52	KG	35.67	68.6	BUFFET
30	1	1	0.396	KG	27.16	68.6	BUFFET
31	1	1	0.544	KG	37.31	68.6	BUFFET
31	2	1	1	UN	4.5	4.5	REFRIGERANTE
31	3	1	1	UN	3.2	3.2	DOCINHOS
32	1	1	0.588	KG	40.33	68.6	BUFFET
32	2	1	1	UN	4.5	4.5	REFRIGERANTE
33	1	1	1	UN	3.5	3.5	AGUA
33	2	1	0.854	KG	58.58	68.6	BUFFET
34	1	1	0.328	KG	22.5	68.6	BUFFET
35	1	1	0.208	KG	14.26	68.6	BUFFET
36	1	1	0.408	KG	27.98	68.6	BUFFET
37	1	1	0.37	KG	25.38	68.6	BUFFET
38	1	1	0.24	KG	16.46	68.6	BUFFET
39	1	1	0.33	KG	22.63	68.6	BUFFET
39	2	1	1	UN	4.5	4.5	REFRIGERANTE
40	1	1	0.468	KG	32.1	68.6	BUFFET
41	1	1	1	UN	4.5	4.5	SUCO
41	2	1	1	UN	3.5	3.5	AGUA
41	3	1	1.202	KG	82.45	68.6	BUFFET
41	4	1	1	UN	4.5	4.5	REFRIGERANTE
42	1	1	1	UN	3.5	3.5	AGUA
42	2	1	0.46	KG	31.55	68.6	BUFFET
43	1	1	0.3	KG	20.58	68.6	BUFFET
44	1	1	0.438	KG	30.04	68.6	BUFFET
44	2	1	1	UN	4.5	4.5	REFRIGERANTE
45	1	1	1	UN	3.5	3.5	AGUA
45	2	1	0.868	KG	59.54	68.6	BUFFET
45	3	1	1	UN	4.5	4.5	REFRIGERANTE
46	1	1	0.986	KG	67.63	68.6	BUFFET
46	2	1	1	UN	4.5	4.5	REFRIGERANTE
47	1	1	0.474	KG	32.51	68.6	BUFFET
48	1	1	0.45	KG	30.87	68.6	BUFFET
49	1	1	1	UN	3.5	3.5	AGUA
49	2	1	0.37	KG	25.38	68.6	BUFFET
50	1	1	0.344	KG	23.59	68.6	BUFFET
50	2	1	1	UN	4.5	4.5	REFRIGERANTE
51	1	1	1	UN	4.5	4.5	SUCO
51	2	1	0.246	KG	16.87	68.6	BUFFET
52	1	1	1	UN	4.5	4.5	LIMONADA
