MesaFator	MesaNum	DataCompleta	DiaSemana	HoraCheia	MealTXT	MealBIN	ValorTotal
2	2	2016-01-05 12:01:54	Tue	12	Lunch	0	24.9
1	1	2016-01-05 12:03:52	Tue	12	Lunch	0	92.53
5	5	2016-01-05 12:16:40	Tue	12	Lunch	0	57.86
3	3	2016-01-05 12:17:50	Tue	12	Lunch	0	34.97
4	4	2016-01-05 12:18:35	Tue	12	Lunch	0	46.23
6	6	2016-01-05 12:20:00	Tue	12	Lunch	0	32.76
7	7	2016-01-05 12:22:16	Tue	12	Lunch	0	57.11
9	9	2016-01-05 12:22:57	Tue	12	Lunch	0	36.19
10	10	2016-01-05 12:23:25	Tue	12	Lunch	0	32.37
11	11	2016-01-05 12:30:26	Tue	12	Lunch	0	119.47
15	15	2016-01-05 12:33:30	Tue	12	Lunch	0	37.04
14	14	2016-01-05 12:34:09	Tue	12	Lunch	0	32.41
16	16	2016-01-05 12:35:11	Tue	12	Lunch	0	34.17
17	17	2016-01-05 12:35:45	Tue	12	Lunch	0	36.46
33	33	2016-01-05 12:38:39	Tue	12	Lunch	0	27.13
26	26	2016-01-05 12:40:43	Tue	12	Lunch	0	26.65
18	18	2016-01-05 12:43:22	Tue	12	Lunch	0	30.59
19	19	2016-01-05 12:43:58	Tue	12	Lunch	0	33.99
23	23	2016-01-05 12:45:28	Tue	12	Lunch	0	21.71
24	24	2016-01-05 12:46:02	Tue	12	Lunch	0	32.35
22	22	2016-01-05 12:46:49	Tue	12	Lunch	0	23.77
47	47	2016-01-05 12:47:35	Tue	12	Lunch	0	23.46
51	51	2016-01-05 12:48:19	Tue	12	Lunch	0	62.36
40	40	2016-01-05 12:49:12	Tue	12	Lunch	0	29.97
71	71	2016-01-05 12:52:50	Tue	12	Lunch	0	47.3
68	68	2016-01-05 12:55:15	Tue	12	Lunch	0	39.13
21	21	2016-01-05 12:56:10	Tue	12	Lunch	0	34.27
60	60	2016-01-05 12:57:05	Tue	12	Lunch	0	22.22
37	37	2016-01-05 13:00:18	Tue	13	Lunch	0	39.17
61	61	2016-01-05 13:06:13	Tue	13	Lunch	0	27.16
59	59	2016-01-05 13:06:38	Tue	13	Lunch	0	45.01
56	56	2016-01-05 13:07:07	Tue	13	Lunch	0	44.83
72	72	2016-01-05 13:08:13	Tue	13	Lunch	0	62.08
75	75	2016-01-05 13:10:26	Tue	13	Lunch	0	22.5
53	53	2016-01-05 13:11:24	Tue	13	Lunch	0	14.26
83	83	2016-01-05 13:12:13	Tue	13	Lunch	0	27.98
90	90	2016-01-05 13:12:51	Tue	13	Lunch	0	25.38
28	28	2016-01-05 13:13:11	Tue	13	Lunch	0	16.46
30	30	2016-01-05 13:13:19	Tue	13	Lunch	0	27.13
35	35	2016-01-05 13:13:28	Tue	13	Lunch	0	32.1
63	63	2016-01-05 13:14:24	Tue	13	Lunch	0	94.94
36	36	2016-01-05 13:15:06	Tue	13	Lunch	0	35.04
57	57	2016-01-05 13:15:54	Tue	13	Lunch	0	20.58
58	58	2016-01-05 13:16:04	Tue	13	Lunch	0	34.54
66	66	2016-01-05 13:16:40	Tue	13	Lunch	0	67.53
43	43	2016-01-05 13:16:51	Tue	13	Lunch	0	72.13
41	41	2016-01-05 13:17:02	Tue	13	Lunch	0	32.51
29	29	2016-01-05 13:17:13	Tue	13	Lunch	0	30.87
38	38	2016-01-05 13:17:29	Tue	13	Lunch	0	28.88
87	87	2016-01-05 13:24:31	Tue	13	Lunch	0	28.09
88	88	2016-01-05 13:25:08	Tue	13	Lunch	0	21.37
